start time, request type, latency, response code
2023-02-04 17:01:05, POST, 147, 200, 
2023-02-04 17:01:05, POST, 146, 200, 
2023-02-04 17:01:05, POST, 146, 200, 
2023-02-04 17:01:05, POST, 146, 200, 
2023-02-04 17:01:05, POST, 144, 200, 
2023-02-04 17:01:05, POST, 144, 200, 
2023-02-04 17:01:05, POST, 143, 200, 
2023-02-04 17:01:05, POST, 144, 200, 
2023-02-04 17:01:05, POST, 144, 200, 
2023-02-04 17:01:05, POST, 143, 200, 
2023-02-04 17:01:05, POST, 144, 200, 
2023-02-04 17:01:05, POST, 145, 200, 
2023-02-04 17:01:05, POST, 145, 200, 
2023-02-04 17:01:05, POST, 144, 200, 
2023-02-04 17:01:05, POST, 145, 200, 
2023-02-04 17:01:05, POST, 145, 200, 
2023-02-04 17:01:05, POST, 145, 200, 
2023-02-04 17:01:05, POST, 145, 200, 
2023-02-04 17:01:05, POST, 145, 200, 
2023-02-04 17:01:05, POST, 145, 200, 
2023-02-04 17:01:05, POST, 146, 200, 
2023-02-04 17:01:05, POST, 171, 200, 
2023-02-04 17:01:05, POST, 277, 200, 
2023-02-04 17:01:06, POST, 145, 200, 
2023-02-04 17:01:05, POST, 269, 200, 
2023-02-04 17:01:06, POST, 144, 200, 
2023-02-04 17:01:06, POST, 144, 200, 
2023-02-04 17:01:06, POST, 144, 200, 
2023-02-04 17:01:06, POST, 144, 200, 
2023-02-04 17:01:06, POST, 145, 200, 
2023-02-04 17:01:06, POST, 144, 200, 
2023-02-04 17:01:06, POST, 145, 200, 
2023-02-04 17:01:05, POST, 264, 200, 
2023-02-04 17:01:06, POST, 142, 200, 
2023-02-04 17:01:06, POST, 142, 200, 
2023-02-04 17:01:06, POST, 142, 200, 
2023-02-04 17:01:06, POST, 142, 200, 
2023-02-04 17:01:06, POST, 142, 200, 
2023-02-04 17:01:06, POST, 143, 200, 
2023-02-04 17:01:06, POST, 142, 200, 
2023-02-04 17:01:06, POST, 141, 200, 
2023-02-04 17:01:06, POST, 141, 200, 
2023-02-04 17:01:06, POST, 143, 200, 
2023-02-04 17:01:06, POST, 142, 200, 
2023-02-04 17:01:06, POST, 140, 200, 
2023-02-04 17:01:06, POST, 142, 200, 
2023-02-04 17:01:06, POST, 141, 200, 
2023-02-04 17:01:06, POST, 140, 200, 
2023-02-04 17:01:06, POST, 141, 200, 
2023-02-04 17:01:06, POST, 141, 200, 
2023-02-04 17:01:06, POST, 141, 200, 
2023-02-04 17:01:06, POST, 134, 200, 
2023-02-04 17:01:06, POST, 141, 200, 
